content,author,URL
"I'm sorry, but the vast
majority of the 70000 lines of code of the rcpp are not your work.",Joris Meys,https://stat.ethz.ch/pipermail/r-devel/2010-December/059298.html
Worst yet is having to compete with your own work.,Dominick Samperi,https://stat.ethz.ch/pipermail/r-devel/attachments/20101202/1b4ce25b/attachment.pl
"As a side note: I think that the Rcpp package authors should give
serious consideration to appending ""The development of this package
was driven by the godawful code that Hadley wrote"" to the end of the
acknowledgements.",Shane Conway,https://stat.ethz.ch/pipermail/r-devel/2010-December/059300.html
"Please note that CRAN is not intended as a development platform but for 
more or less stable package releases that won't change too frequently, 
hence we expect that for the not so frequent event of a package 
submission, it is *not too much work for the package maintainer* to use 
the webbrowsr for a submission. ",Uwe Ligges,https://stat.ethz.ch/pipermail/r-devel/2014-August/069599.html
"This paper/_package does what it claims quite well, but it could do so much more. It lacks ambition. ",Rob J Hyndman,http://robjhyndman.com/hyndsight/jss-rpackages/
"Although pqR author Radford has taken the high road in what he says, he very clearly offered his first batch of improvements to the core R group and they mostly got rejected with not much more than a Ågwe donÅft do things that way hereÅh attitude",Jeremy Fox,http://dynamicecology.wordpress.com/2014/01/14/r-isnt-just-r-anymore/
"Maintaining an Rcpp-based package on CRAN these days is a case of ""no good
deed shall go unpunished"" and ""the flogging will continue until morale
improves"". ",Douglas Bates,https://stat.ethz.ch/pipermail/r-sig-mixed-models/attachments/20131209/ec911711/attachment.pl
"For reference, a disparaging comment would be something like: ""This
package was based code written by Hadley Wickham that made my eyes
bleed"", or ""The development of this package was driven by the godawful
code that Hadley wrote"".",Hadley Wickham,https://stat.ethz.ch/pipermail/r-devel/2010-December/059275.html
